year,state,medianincome,se,footnote
2015,United States,56516,392,none
2015,Alabama,44509,1529,none
2015,Alaska,75112,3153,none
2015,Arizona,52248,2304,none
2015,Arkansas,42798,2546,none
2015,California,63636,894,none
2015,Colorado,66596,2414,none
2015,Connecticut,72889,2665,none
2015,Delaware,57756,2970,none
2015,D.C.,70071,4402,none
2015,Florida,48825,950,none
2015,Georgia,50768,2009,none
2015,Hawaii,64514,2676,none
2015,Idaho,51624,2572,none
2015,Illinois,60413,1625,none
2015,Indiana,51983,1943,none
2015,Iowa,60855,3425,none
2015,Kansas,54865,2863,none
2015,Kentucky,42387,1580,none
2015,Louisiana,45922,1862,none
2015,Maine,50756,2171,none
2015,Maryland,73594,4272,none
2015,Massachusetts,67861,2662,none
2015,Michigan,54203,1199,none
2015,Minnesota,68730,3207,none
2015,Mississippi,40037,1294,none
2015,Missouri,59196,3030,none
2015,Montana,51395,1778,none
2015,Nebraska,60474,2254,none
2015,Nevada,52008,1836,none
2015,New Hampshire,75675,3253,none
2015,New Jersey,68357,2693,none
2015,New Mexico,45119,3312,none
2015,New York,58005,1781,none
2015,North Carolina,50797,1710,none
2015,North Dakota,57415,3138,none
2015,Ohio,53301,1393,none
2015,Oklahoma,47077,2775,none
2015,Oregon,60834,2998,none
2015,Pennsylvania,60389,2266,none
2015,Rhode Island,55701,4001,none
2015,South Carolina,46360,2244,none
2015,South Dakota,55065,3542,none
2015,Tennessee,47330,2326,none
2015,Texas,56473,1344,none
2015,Utah,66258,3231,none
2015,Vermont,59494,3098,none
2015,Virginia,61486,2946,none
2015,Washington,67243,2195,none
2015,West Virginia,42824,2195,none
2015,Wisconsin,55425,2154,none
2014,United States,53657,392,none
2014,Alabama,42278,1529,none
2014,Alaska,67629,3153,none
2014,Arizona,49254,2304,none
2014,Arkansas,44922,2546,none
2014,California,60487,894,none
2014,Colorado,60940,2414,none
2014,Connecticut,70161,2665,none
2014,Delaware,57522,2970,none
2014,D.C.,68277,4402,none
2014,Florida,46140,950,none
2014,Georgia,49555,2009,none
2014,Hawaii,71223,2676,none
2014,Idaho,53438,2572,none
2014,Illinois,54916,1625,none
2014,Indiana,48060,1943,none
2014,Iowa,57810,3425,none
2014,Kansas,53444,2863,none
2014,Kentucky,42786,1580,none
2014,Louisiana,42406,1862,none
2014,Maine,51710,2171,none
2014,Maryland,76165,4272,none
2014,Massachusetts,63151,2662,none
2014,Michigan,52005,1199,none
2014,Minnesota,67244,3207,none
2014,Mississippi,35521,1294,none
2014,Missouri,56630,3030,none
2014,Montana,51102,1778,none
2014,Nebraska,56870,2254,none
2014,Nevada,49875,1836,none
2014,New Hampshire,73397,3253,none
2014,New Jersey,65243,2693,none
2014,New Mexico,46686,3312,none
2014,New York,54310,1781,none
2014,North Carolina,46784,1710,none
2014,North Dakota,60730,3138,none
2014,Ohio,49644,1393,none
2014,Oklahoma,47199,2775,none
2014,Oregon,58875,2998,none
2014,Pennsylvania,55173,2266,none
2014,Rhode Island,58633,4001,none
2014,South Carolina,44929,2244,none
2014,South Dakota,53053,3542,none
2014,Tennessee,43716,2326,none
2014,Texas,53875,1344,none
2014,Utah,63383,3231,none
2014,Vermont,60708,3098,none
2014,Virginia,66155,2946,none
2014,Washington,59068,2195,none
2014,West Virginia,39552,2195,none
2014,Wisconsin,58080,2154,none
2013,United States,54462,665,none
2013,Alabama,48094,5601,none
2013,Alaska,73658,5535,none
2013,Arizona,53472,4436,none
2013,Arkansas,40020,2441,none
2013,California,61789,1841,none
2013,Colorado,69023,4197,none
2013,Connecticut,70425,3291,none
2013,Delaware,54976,4421,none
2013,D.C.,61040,5619,none
2013,Florida,49326,2861,none
2013,Georgia,47761,4305,none
2013,Hawaii,65286,3982,none
2013,Idaho,49260,5574,none
2013,Illinois,54820,3341,none
2013,Indiana,50264,4582,none
2013,Iowa,61140,6234,none
2013,Kansas,48603,4570,none
2013,Kentucky,45613,3988,none
2013,Louisiana,47185,2585,none
2013,Maine,55856,3926,none
2013,Maryland,70488,3019,none
2013,Massachusetts,63552,5390,none
2013,Michigan,57493,1613,none
2013,Minnesota,65377,4057,none
2013,Mississippi,32867,2775,none
2013,Missouri,47061,4202,none
2013,Montana,43908,6043,none
2013,Nebraska,58566,4286,none
2013,Nevada,52694,3230,none
2013,New Hampshire,70230,4032,none
2013,New Jersey,64797,4537,none
2013,New Mexico,40823,4480,none
2013,New York,50784,2304,none
2013,North Carolina,47095,3023,none
2013,North Dakota,60120,3507,none
2013,Ohio,51578,2488,none
2013,Oklahoma,46917,3498,none
2013,Oregon,49801,2934,none
2013,Pennsylvania,56059,2984,none
2013,Rhode Island,57245,3915,none
2013,South Carolina,44276,2427,none
2013,South Dakota,54287,2965,none
2013,Tennessee,44071,3491,none
2013,Texas,52247,1382,none
2013,Utah,62046,1578,none
2013,Vermont,66585,4079,none
2013,Virginia,66986,2785,none
2013,Washington,64968,3441,none
2013,West Virginia,43774,3511,none
2013,Wisconsin,52572,2672,none
2012,United States,52605,216,none
2012,Alabama,44817,2608,none
2012,Alaska,65629,2927,none
2012,Arizona,48508,3013,none
2012,Arkansas,40233,2900,none
2012,California,58795,1277,none
2012,Colorado,59037,2792,none
2012,Connecticut,66247,2942,none
2012,Delaware,50496,2038,none
2012,D.C.,67277,3785,none
2012,Florida,47505,1145,none
2012,Georgia,49619,1551,none
2012,Hawaii,58014,2325,none
2012,Idaho,49414,3272,none
2012,Illinois,53349,1369,none
2012,Indiana,47595,1843,none
2012,Iowa,55106,2205,none
2012,Kansas,51560,1868,none
2012,Kentucky,42365,1959,none
2012,Louisiana,40302,1661,none
2012,Maine,50688,2317,none
